Column1,Address,Price,Zip Code,Size,Neighbourhood
37,"7825 SE Crystal Springs Blvd, Portland, OR 97206",385000,97206,920,Foster Powell
84,"3306 SE 77th Ave, Portland, OR 97206",479900,97206,1978,Foster Powell
96,"4412 SE 47th Ave, Portland, OR 97206",559000,97206,2110,Foster Powell
101,"5420 SE Knapp St, Portland, OR 97206",649900,97206,1800,Foster Powell
103,"5424 SE Knapp St, Portland, OR 97206",649900,97206,1800,Foster Powell
124,"7725 SE 62nd Ave, Portland, OR 97206",429900,97206,966,Foster Powell
125,"6020 SE Bush St, Portland, OR 97206",1195000,97206,4036,Foster Powell
143,"4705 SE Steele St, Portland, OR 97206",699900,97206,2648,Foster Powell
151,"5744 SE Insley St, Portland, OR 97206",595000,97206,1361,Foster Powell
178,"6706 SE Steele St, Portland, OR 97206",375000,97206,1992,Foster Powell
179,"7610 SE 69th Ave, Portland, OR 97206",399900,97206,1026,Foster Powell
181,"7519 SE 70th Ave, Portland, OR 97206",399900,97206,1128,Foster Powell
229,"2728 SE 70th Ave, Portland, OR 97206",635000,97206,2464,Foster Powell
242,"8308 SE 64th Ave, Portland, OR 97206",529950,97206,2508,Foster Powell
251,"8219 SE 67th Ave, Portland, OR 97206",419900,97206,1381,Foster Powell
267,"5309 SE 72nd Pl, Portland, OR 97206",495000,97206,1409,Foster Powell
269,"5047 SE Ellis St, Portland, OR 97206",895000,97206,2862,Foster Powell
332,"6644 SE 47th Ave, Portland, OR 97206",649000,97206,2260,Foster Powell
333,"7523 SE Holgate Blvd, Portland, OR 97206",399900,97206,1628,Foster Powell
342,"3519 SE 64th Ave, Portland, OR 97206",385000,97206,1176,Foster Powell
345,"4815 SE Rural St, Portland, OR 97206",955000,97206,2597,Foster Powell
359,"5520 SE Schiller St, Portland, OR 97206",599000,97206,2149,Foster Powell
363,"8558 SE 70th Ave Unit B, Portland, OR 97206",399000,97206,892,Foster Powell
365,"8554 SE 70th Ave Unit A, Portland, OR 97206",499000,97206,1362,Foster Powell
370,"4611 SE Knapp St, Portland, OR 97206",719900,97206,2162,Foster Powell
380,"5320 SE Cooper St, Portland, OR 97206",279000,97206,790,Foster Powell
429,"5250 SE 49th Ave, Portland, OR 97206",685000,97206,1948,Foster Powell
450,"6424 SE 70th Ave, Portland, OR 97206",299900,97206,701,Foster Powell
467,"7306 SE Knight St, Portland, OR 97206",449999,97206,1995,Foster Powell
475,"2425 SE 62nd Ave, Portland, OR 97206",597000,97206,2126,Foster Powell
501,"4527 SE 45th Ave, Portland, OR 97206",450000,97206,3212,Foster Powell
504,"6604 SE Insley St Unit B, Portland, OR 97206",385000,97206,791,Foster Powell
505,"7132 SE Gladstone St, Portland, OR 97206",665000,97206,1800,Foster Powell
532,"6745 SE 68th Ave, Portland, OR 97206",375000,97206,884,Foster Powell
535,"4331 SE Nehalem St, Portland, OR 97206",450000,97206,1759,Foster Powell
546,"7475 SE Rhone St, Portland, OR 97206",749900,97206,2493,Foster Powell
612,"6551 SE 69th Ave, Portland, OR 97206",519000,97206,1432,Foster Powell
622,"4304 SE 45th Ave, Portland, OR 97206",575000,97206,2320,Foster Powell
642,"5003 SE 63rd Ave, Portland, OR 97206",429989,97206,1224,Foster Powell
644,"5618 SE 65th Ave, Portland, OR 97206",599900,97206,2848,Foster Powell
658,"6608 SE Ogden St, Portland, OR 97206",479000,97206,1534,Foster Powell
671,"4127 SE 67th Ave, Portland, OR 97206",398000,97206,1276,Foster Powell
684,"6635 SE Woodstock Blvd, Portland, OR 97206",425000,97206,720,Foster Powell
693,"4911 SE Haig St, Portland, OR 97206",599900,97206,2679,Foster Powell
696,"6477 SE 65th Ave, Portland, OR 97206",624900,97206,1718,Foster Powell
706,"6110 SE Tolman St, Portland, OR 97206",599000,97206,2304,Foster Powell
724,"4011 SE 65th Ave, Portland, OR 97206",444000,97206,1984,Foster Powell
729,"3004 SE 71st Ave, Portland, OR 97206",475000,97206,1293,Foster Powell
731,"2536 SE 67th Ave, Portland, OR 97206",690000,97206,1704,Foster Powell
738,"2619 SE 61st Ave, Portland, OR 97206",525000,97206,1630,Foster Powell
755,"7035 SE Windsor Ct, Portland, OR 97206",824000,97206,3192,Foster Powell
763,"5829 SE Carlton St, Portland, OR 97206",489000,97206,1450,Foster Powell
783,"7435 SE Henderson St, Portland, OR 97206",699900,97206,2425,Foster Powell
796,"6549 SE 64th Ave, Portland, OR 97206",459000,97206,1671,Foster Powell
798,"3543 SE 64th Ave, Portland, OR 97206",499950,97206,1718,Foster Powell
801,"2735 SE 50th Ave, Portland, OR 97206",399000,97206,1132,Foster Powell
806,"5705 SE Malden St, Portland, OR 97206",375000,97206,1206,Foster Powell
812,"6522 SE Ramona St, Portland, OR 97206",499900,97206,2867,Foster Powell
834,"6911 SE Cora St, Portland, OR 97206",394000,97206,1436,Foster Powell
851,"6529 SE 58th Ave, Portland, OR 97206",499000,97206,1755,Foster Powell
857,"6206 SE 77th Ave Unit A, Portland, OR 97206",329900,97206,702,Foster Powell
876,"3830 SE 68th Ave, Portland, OR 97206",425000,97206,1107,Foster Powell
880,"4030 SE 73rd Ave, Portland, OR 97206",359000,97206,1420,Foster Powell
894,"4941 SE 74th Ave, Portland, OR 97206",439000,97206,1888,Foster Powell
899,"2720 SE 49th Ave, Portland, OR 97206",725000,97206,2146,Foster Powell
900,"3813 SE 67th Ave, Portland, OR 97206",550000,97206,2031,Foster Powell
904,"2828 SE 59th Ave, Portland, OR 97206",485000,97206,1655,Foster Powell
907,"6306 SE 44th Ave, Portland, OR 97206",850000,97206,2755,Foster Powell
929,"6881 SE Alberta Ave, Portland, OR 97206",409999,97206,966,Foster Powell
944,"2446 SE 76th Ave Unit 1, Portland, OR 97206",400000,97206,1603,Foster Powell
945,"4118 SE 76th Ave, Portland, OR 97206",425000,97206,1056,Foster Powell
985,"4135 SE 65th Ave, Portland, OR 97206",559000,97206,2212,Foster Powell
990,"7002 SE Woodward St, Portland, OR 97206",675000,97206,2546,Foster Powell
1000,"7816 SE 60th Ave, Portland, OR 97206",497900,97206,1545,Foster Powell
1016,"7734 SE 66th Pl, Portland, OR 97206",299000,97206,868,Foster Powell
1022,"6306 SE 52nd Ave, Portland, OR 97206",599950,97206,2327,Foster Powell
1030,"3503 SE 73rd Ave, Portland, OR 97206",369900,97206,1402,Foster Powell
1067,"8027 SE 52nd Ave, Portland, OR 97206",420000,97206,1452,Foster Powell
1083,"5610 SE Steele St, Portland, OR 97206",475000,97206,1459,Foster Powell
1094,"4326 SE Ivon St, Portland, OR 97206",499900,97206,1862,Foster Powell
1095,"7049 SE Taggart St, Portland, OR 97206",437500,97206,870,Foster Powell
1096,"5222 SE Center St, Portland, OR 97206",600000,97206,2848,Foster Powell
1098,"4631 SE 75th Ave, Portland, OR 97206",424000,97206,1390,Foster Powell
1117,"2836 SE 47th Ave, Portland, OR 97206",429900,97206,1482,Foster Powell
1125,"8108 SE Rhine St, Portland, OR 97206",329900,97206,980,Foster Powell
1154,"6071 SE Lexington St, Portland, OR 97206",499950,97206,1696,Foster Powell
1164,"4233 SE Malden St, Portland, OR 97206",499000,97206,1736,Foster Powell
1192,"4207 SE Henderson St, Portland, OR 97206",695000,97206,1878,Foster Powell
1196,"6415 SE Tibbetts St, Portland, OR 97206",489500,97206,1416,Foster Powell
1206,"4404 SE 64th Ave, Portland, OR 97206",579900,97206,1972,Foster Powell
1216,"7502 SE 64th Ave, Portland, OR 97206",399500,97206,1686,Foster Powell
1227,"4914 SE Henderson St, Portland, OR 97206",614950,97206,1597,Foster Powell
1228,"4930 SE Henderson St, Portland, OR 97206",599950,97206,1551,Foster Powell
1231,"6204 SE Flavel St, Portland, OR 97206",550000,97206,1920,Foster Powell
1233,"8114 SE 63rd Ave, Portland, OR 97206",384999,97206,676,Foster Powell
1234,"4607 SE Knapp St, Portland, OR 97206",719800,97206,2162,Foster Powell
1247,"6616 SE 75th Ave, Portland, OR 97206",410000,97206,950,Foster Powell
1283,"6604 SE Insley St Unit C, Portland, OR 97206",385000,97206,791,Foster Powell
1295,"4014 SE 48th Ave, Portland, OR 97206",525000,97206,1337,Foster Powell
1321,"5339 SE 70th Ave, Portland, OR 97206",435000,97206,1722,Foster Powell
1327,"7020 SE 42nd Ave, Portland, OR 97206",672000,97206,2041,Foster Powell
1359,"4365 SE 67th Ave, Portland, OR 97206",475000,97206,979,Foster Powell
1364,"3136 SE 81st Ave, Portland, OR 97206",385000,97206,830,Foster Powell
1391,"3218 SE 53rd Ave, Portland, OR 97206",599000,97206,2301,Foster Powell
1401,"4424 SE Crystal Springs Blvd, Portland, OR 97206",678000,97206,2577,Foster Powell
1430,"3404 SE 66th Ave, Portland, OR 97206",579000,97206,1883,Foster Powell
1490,"7827 SE 54th Ave, Portland, OR 97206",699900,97206,2955,Foster Powell
1496,"5030 SE 49th Ave, Portland, OR 97206",675000,97206,2100,Foster Powell
1500,"4930 SE 71st Ave, Portland, OR 97206",595000,97206,2904,Foster Powell
1502,"6710 SE 81st Ave, Portland, OR 97206",249900,97206,1150,Foster Powell
1525,"6036 SE Harney St, Portland, OR 97206",299900,97206,924,Foster Powell
1527,"7605 SE Carlton St, Portland, OR 97206",624900,97206,2464,Foster Powell
1532,"4234 SE Rex St, Portland, OR 97206",580000,97206,1718,Foster Powell
1552,"9218 SE 55th Ave, Portland, OR 97206",695000,97206,2207,Foster Powell
1554,"5729 SE Francis St, Portland, OR 97206",364999,97206,1700,Foster Powell
1558,"6538 SE 64th Ave Unit B, Portland, OR 97206",399950,97206,787,Foster Powell
1571,"5731 SE 50th Ave, Portland, OR 97206",574900,97206,2968,Foster Powell
1572,"6546 SE 64th Ave Unit B, Portland, OR 97206",409950,97206,787,Foster Powell
1573,"6538 SE 64th Ave Unit A, Portland, OR 97206",599950,97206,2140,Foster Powell
1574,"5711 SE Carlton St, Portland, OR 97206",475000,97206,1536,Foster Powell
1578,"5255 SE Lambert St, Portland, OR 97206",514900,97206,2833,Foster Powell
1607,"6031 SE Woodstock Blvd, Portland, OR 97206",499900,97206,1454,Foster Powell
1623,"4305 SE 65th Ave, Portland, OR 97206",399000,97206,980,Foster Powell
1633,"5327 SE Holgate Blvd, Portland, OR 97206",549000,97206,1715,Foster Powell
1644,"6136 SE Lexington St, Portland, OR 97206",385000,97206,868,Foster Powell
1664,"5219 SE 42nd Ave, Portland, OR 97206",380000,97206,1471,Foster Powell
1675,"5709 SE Boise St, Portland, OR 97206",375000,97206,809,Foster Powell
1709,"7417 SE Sherrett St, Portland, OR 97206",419900,97206,1200,Foster Powell
1729,"7300 SE 69th Ave Unit A, Portland, OR 97206",624900,97206,2108,Foster Powell
1738,"5415 SE 51st Ave, Portland, OR 97206",619900,97206,1661,Foster Powell
1755,"6032 SE 47th Ave, Portland, OR 97206",499950,97206,1017,Foster Powell
1765,"7026 SE 69th Ave, Portland, OR 97206",390000,97206,1032,Foster Powell
1769,"2835 SE 78th Ave, Portland, OR 97206",579900,97206,2326,Foster Powell
1773,"4655 SE 46th Ave, Portland, OR 97206",399900,97206,1440,Foster Powell
1775,"5815 SE Holgate Blvd, Portland, OR 97206",649000,97206,2084,Foster Powell
1779,"3217 SE 51st Ave, Portland, OR 97206",499000,97206,1008,Foster Powell
1783,"2702 SE 58th Ave, Portland, OR 97206",535000,97206,2066,Foster Powell
1787,"4455 SE 56th Ave, Portland, OR 97206",530000,97206,1812,Foster Powell
1795,"6521 SE 71st Ave, Portland, OR 97206",350000,97206,1104,Foster Powell
1804,"5415 SE Schiller St, Portland, OR 97206",499900,97206,3054,Foster Powell
1849,"7912 SE Henderson St, Portland, OR 97206",399000,97206,1584,Foster Powell
1855,"3707 SE 60th Ave, Portland, OR 97206",535000,97206,2294,Foster Powell
1869,"7619 SE Insley St, Portland, OR 97206",375000,97206,2400,Foster Powell
1875,"5425 SE 46th Ave, Portland, OR 97206",450000,97206,1864,Foster Powell
1884,"5720 SE 71st Ave, Portland, OR 97206",459000,97206,2263,Foster Powell
1906,"4710 SE Long St, Portland, OR 97206",525000,97206,2771,Foster Powell
1915,"8135 SE Ogden St, Portland, OR 97206",649000,97206,2121,Foster Powell
1927,"4812 SE Kelly St, Portland, OR 97206",950000,97206,2460,Foster Powell
1928,"3630 SE 64th Ave, Portland, OR 97206",519000,97206,2290,Foster Powell
1949,"5036 SE 58th Ave, Portland, OR 97206",364900,97206,720,Foster Powell
1996,"6936 SE Crystal Springs Blvd, Portland, OR 97206",469900,97206,1600,Foster Powell
2012,"4317 SE 79th Ave, Portland, OR 97206",365000,97206,1406,Foster Powell
2016,"3305 SE 74th Ave, Portland, OR 97206",375000,97206,740,Foster Powell
2030,"5026 SE 76th Ave, Portland, OR 97206",400000,97206,2296,Foster Powell
2047,"5839 SE Tenino St, Portland, OR 97206",549900,97206,1636,Foster Powell
2052,"8019 SE 68th Ave, Portland, OR 97206",425000,97206,1008,Foster Powell
2073,"7006 SE Mall St, Portland, OR 97206",429000,97206,768,Foster Powell
2082,"8125 SE 52nd Ave, Portland, OR 97206",429900,97206,1220,Foster Powell
2121,"7431 SE Ogden St, Portland, OR 97206",379999,97206,1373,Foster Powell
2139,"2636 SE 50th Ave, Portland, OR 97206",570000,97206,1847,Foster Powell
2159,"3530 SE 70th Ave, Portland, OR 97206",449000,97206,2240,Foster Powell
2234,"5230 SE Center St, Portland, OR 97206",649900,97206,2287,Foster Powell
